quarter,value,missing_reason
1979-Q1,232,
1979-Q2,239,
1979-Q3,243,
1979-Q4,248,
1980-Q1,254,
1980-Q2,257,
1980-Q3,266,
1980-Q4,269,
1981-Q1,276,
1981-Q2,279,
1981-Q3,285,
1981-Q4,292,
1982-Q1,295,
1982-Q2,301,
1982-Q3,303,
1982-Q4,306,
1983-Q1,309,
1983-Q2,311,
1983-Q3,316,
1983-Q4,316,
1984-Q1,321,
1984-Q2,323,
1984-Q3,327,
1984-Q4,333,
1985-Q1,334,
1985-Q2,347,
1985-Q3,345,
1985-Q4,348,
1986-Q1,352,
1986-Q2,358,
1986-Q3,359,
1986-Q4,365,
1987-Q1,366,
1987-Q2,371,
1987-Q3,377,
1987-Q4,378,
1988-Q1,382,
1988-Q2,382,
1988-Q3,387,
1988-Q4,390,
1989-Q1,393,
1989-Q2,398,
1989-Q3,401,
1989-Q4,406,
1990-Q1,408,
1990-Q2,412,
1990-Q3,412,
1990-Q4,417,
1991-Q1,426,
1991-Q2,423,
1991-Q3,427,
1991-Q4,430,
1992-Q1,437,
1992-Q2,438,
1992-Q3,443,
1992-Q4,443,
1993-Q1,450,
1993-Q2,457,
1993-Q3,461,
1993-Q4,465,
1994-Q1,463,
1994-Q2,467,
1994-Q3,467,
1994-Q4,470,
1995-Q1,473,
1995-Q2,477,
1995-Q3,484,
1995-Q4,482,
1996-Q1,484,
1996-Q2,488,
1996-Q3,493,
1996-Q4,496,
1997-Q1,499,
1997-Q2,502,
1997-Q3,504,
1997-Q4,508,
1998-Q1,516,
1998-Q2,518,
1998-Q3,525,
1998-Q4,538,
1999-Q1,533,
1999-Q2,546,
1999-Q3,551,
1999-Q4,564,
2000-Q1,568,
2000-Q2,572,
2000-Q3,579,
2000-Q4,581,
2001-Q1,585,
2001-Q2,594,
2001-Q3,601,
2001-Q4,603,
2002-Q1,607,
2002-Q2,608,
2002-Q3,608,
2002-Q4,610,
2003-Q1,615,
2003-Q2,619,
2003-Q3,621,
2003-Q4,623,
2004-Q1,629,
2004-Q2,642,
2004-Q3,635,
2004-Q4,646,
2005-Q1,647,
2005-Q2,647,
2005-Q3,651,
2005-Q4,658,
2006-Q1,662,
2006-Q2,663,
2006-Q3,678,
2006-Q4,681,
2007-Q1,687,
2007-Q2,693,
2007-Q3,698,
2007-Q4,700,
2008-Q1,713,
2008-Q2,722,
2008-Q3,724,
2008-Q4,727,
2009-Q1,732,
2009-Q2,737,
2009-Q3,742,
2009-Q4,747,
2010-Q1,748,
2010-Q2,742,
2010-Q3,746,
2010-Q4,750,
2011-Q1,750,
2011-Q2,754,
2011-Q3,760,
2011-Q4,760,
2012-Q1,764,
2012-Q2,772,
2012-Q3,766,
2012-Q4,771,
2013-Q1,768,
2013-Q2,777,
2013-Q3,779,
2013-Q4,782,
2014-Q1,790,
2014-Q2,781,
2014-Q3,798,
2014-Q4,795,
2015-Q1,802,
2015-Q2,803,
2015-Q3,809,
2015-Q4,821,
2016-Q1,823,
2016-Q2,828,
2016-Q3,834,
2016-Q4,845,
2017-Q1,858,
2017-Q2,863,
2017-Q3,864,
2017-Q4,854,
2018-Q1,875,
2018-Q2,881,
2018-Q3,891,
2018-Q4,897,
2019-Q1,899,
2019-Q2,914,
2019-Q3,921,
2019-Q4,934,
2020-Q1,951,
2020-Q2,1008,
2020-Q3,995,
2020-Q4,983,
2021-Q1,984,
2021-Q2,996,
2021-Q3,1002,
2021-Q4,1008,
2022-Q1,1033,
2022-Q2,1048,
2022-Q3,1071,
2022-Q4,1081,
2023-Q1,1097,
2023-Q2,1108,
2023-Q3,1119,
2023-Q4,1139,
2024-Q1,1136,
2024-Q2,1151,
2024-Q3,1166,
2024-Q4,1185,
2025-Q1,1192,
2025-Q2,1205,
2025-Q3,1215,
2025-Q4,,Data for Q4 2025 were not produced. Data for October 2025 were not collected due to the federal government shutdown.
2026-Q1,1233,
2026-Q2,1258,
