quarter,quarter_end,paycheck_value,market_component,paycheck_component,ppg
1979-Q1,1979-03-31,232,92.557452,91.338583,101.334452
1979-Q2,1979-06-30,239,96.420326,94.094488,102.471811
1979-Q3,1979-09-30,243,104.535849,95.669291,109.267924
1979-Q4,1979-12-31,248,106.175397,97.637795,108.744157
1980-Q1,1980-03-31,254,100.000000,100.000000,100.000000
1980-Q2,1980-06-30,257,115.607494,101.181102,114.257990
1980-Q3,1980-09-30,266,130.745755,104.724409,124.847450
1980-Q4,1980-12-31,269,142.994405,105.905512,135.020740
1981-Q1,1981-03-31,276,146.505875,108.661417,134.827870
1981-Q2,1981-06-30,279,145.559129,109.842520,132.516196
1981-Q3,1981-09-30,285,128.485066,112.204724,114.509498
1981-Q4,1981-12-31,292,138.535874,114.960630,120.507233
1982-Q1,1982-03-31,295,127.333869,116.141732,109.636620
1982-Q2,1982-06-30,301,126.102045,118.503937,106.411692
1982-Q3,1982-09-30,303,140.647538,119.291339,117.902557
1982-Q4,1982-12-31,306,168.057663,120.472441,139.498845
1983-Q1,1983-03-31,309,186.809718,121.653543,153.558798
1983-Q2,1983-06-30,311,211.200307,122.440945,172.491569
1983-Q3,1983-09-30,316,208.700412,124.409449,167.752863
1983-Q4,1983-12-31,316,206.841823,124.409449,166.258934
1984-Q1,1984-03-31,321,198.883657,126.377953,157.372115
1984-Q2,1984-06-30,323,193.567334,127.165354,152.217037
1984-Q3,1984-09-30,327,211.383149,128.740157,164.193639
1984-Q4,1984-12-31,333,213.843289,131.102362,163.111698
1985-Q1,1985-03-31,334,236.264937,131.496063,179.674533
1985-Q2,1985-06-30,347,253.088937,136.614173,185.258185
1985-Q3,1985-09-30,345,241.924960,135.826772,178.112869
1985-Q4,1985-12-31,348,282.524537,137.007874,206.210438
1986-Q1,1986-03-31,352,323.687454,138.582677,233.569924
1986-Q2,1986-06-30,358,342.755434,140.944882,243.184023
1986-Q3,1986-09-30,359,316.112425,141.338583,223.656145
1986-Q4,1986-12-31,365,328.342944,143.700787,228.490706
1987-Q1,1987-03-31,366,398.002198,144.094488,276.209176
1987-Q2,1987-06-30,371,411.384252,146.062992,281.648518
1987-Q3,1987-09-30,377,437.490939,148.425197,294.755169
1987-Q4,1987-12-31,378,336.912707,148.818898,226.391078
1988-Q1,1988-03-31,382,365.070056,150.393701,242.742917
1988-Q2,1988-06-30,382,389.374691,150.393701,258.903591
1988-Q3,1988-09-30,387,390.236334,152.362205,256.124105
1988-Q4,1988-12-31,390,399.835665,153.543307,260.405792
1989-Q1,1989-03-31,393,430.223512,154.724409,278.057944
1989-Q2,1989-06-30,398,466.301103,156.692913,297.589146
1989-Q3,1989-09-30,401,513.363905,157.874016,325.173147
1989-Q4,1989-12-31,406,517.107310,159.842520,323.510485
1990-Q1,1990-03-31,408,500.695807,160.629921,311.707684
1990-Q2,1990-06-30,412,528.752564,162.204724,325.978523
1990-Q3,1990-09-30,412,449.491959,162.204724,277.113975
1990-Q4,1990-12-31,417,486.832706,164.173228,296.535989
1991-Q1,1991-03-31,426,566.740923,167.716535,337.915949
1991-Q2,1991-06-30,423,565.817052,166.535433,339.757757
1991-Q3,1991-09-30,427,601.525218,168.110236,357.815937
1991-Q4,1991-12-31,430,653.298439,169.291339,385.901869
1992-Q1,1992-03-31,437,644.720780,172.047244,374.734733
1992-Q2,1992-06-30,438,645.395925,172.440945,374.270696
1992-Q3,1992-09-30,443,665.569979,174.409449,381.613487
1992-Q4,1992-12-31,443,714.371347,174.409449,409.594407
1993-Q1,1993-03-31,450,745.017915,177.165354,420.521223
1993-Q2,1993-06-30,457,753.281152,179.921260,418.672675
1993-Q3,1993-09-30,461,782.499332,181.496063,431.138460
1993-Q4,1993-12-31,465,800.207059,183.070866,437.102351
1994-Q1,1994-03-31,463,769.452653,182.283465,422.118734
1994-Q2,1994-06-30,467,763.554321,183.858268,415.295070
1994-Q3,1994-09-30,467,808.814873,183.858268,439.912158
1994-Q4,1994-12-31,470,801.436340,185.039370,433.116660
1995-Q1,1995-03-31,473,875.580693,186.220472,470.184981
1995-Q2,1995-06-30,477,957.073657,187.795276,509.636706
1995-Q3,1995-09-30,484,1042.920614,190.551181,547.317843
1995-Q4,1995-12-31,482,1091.815505,189.763780,575.355059
1996-Q1,1996-03-31,484,1154.604630,190.551181,605.928876
1996-Q2,1996-06-30,488,1207.288100,192.125984,628.383560
1996-Q3,1996-09-30,493,1242.071488,194.094488,639.931355
1996-Q4,1996-12-31,496,1326.607055,195.275591,679.351194
1997-Q1,1997-03-31,499,1334.069847,196.456693,679.065614
1997-Q2,1997-06-30,502,1560.066721,197.637795,789.356468
1997-Q3,1997-09-30,504,1714.994574,198.425197,864.302821
1997-Q4,1997-12-31,508,1738.656878,200.000000,869.328439
1998-Q1,1998-03-31,516,1975.962943,203.149606,972.663929
1998-Q2,1998-06-30,518,2012.341627,203.937008,986.746667
1998-Q3,1998-09-30,525,1761.206801,206.692913,852.088624
1998-Q4,1998-12-31,538,2145.083358,211.811024,1012.734522
1999-Q1,1999-03-31,533,2228.211424,209.842520,1061.849346
1999-Q2,1999-06-30,546,2405.661184,214.960630,1119.117108
1999-Q3,1999-09-30,551,2258.939446,216.929134,1041.325988
